,cas_number,moldb_smiles,klass
Tuberoside B (Allium tuberosum),259810-67-8,CC(CCC1=C(C)C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)O1)COC1OC(CO)C(O)C(O)C1O,
Tuberoside C (Allium tuberosum),259810-68-9,CC(CCC1=C(C)C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)O1)COC1OC(CO)C(O)C(O)C1O,
5-Hydroxyferulic acid,1782-55-4,COC1=CC(\C=C\C(O)=O)=CC(O)=C1O,
"(3b,5a,6b,22a,25R)-Furostane-22-methoxy-3,6,26-triol 3-[glucosyl-(1->2)-[xylosyl-(1->3)]-glucosyl-(1->4)-galactoside] 26-glucoside",256642-48-5,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(O)C5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O,
"(1beta,2alpha,3alpha)-1,2,3,24-Tetrahydroxy-12-oleanen-28-oic acid",254098-66-3,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)C(O)C(O)C(O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,
"(25S)-Spirostane-3b,5b,6a-triol 3-[4''-rhamnosylglucoside]",265092-98-6,CC1C2C(CC3C4CC(O)C5(O)CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,
25-Epiruizgenin 3-[4''-rhamnosylglucoside],265092-99-7,CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,
beta-Chacotriosyllilagen,265092-97-5,CC1C2C(CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,
"(3b,16a)-Dihydroxy-12-oleanen-28-oic acid 3-[glucosyl-(1->2)-arabinoside] 28-[rhamnosyl-(1->4)-glucosyl-(1->4)-glucosyl] ester",214219-70-2,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OCC(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(C)(C)C7CCC6(C)C4(C)CC5O)OC3CO)OC2CO)C(O)C(O)C1O,
Notoginsenoside K,259795-16-9,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Protopanaxadiol 3-glucoside 20-[arabinosyl-(1->2)-glucoside],259795-17-0,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Triptohypol F,268541-26-0,COC1C=C2C3CC(C)(C)CCC3(C)CCC2(C)C2(C)CCC3C(C)(C)C(O)CCC3(C)C12,
Vitisifuran B,223558-40-5,OC1=CC=C(C=C1)C1OC2=C(C1C1=CC(O)=CC(O)=C1)C(\C=C\C1=CC3=C(OC(=C3C3=C4C(C(OC4=CC(O)=C3)C3=CC=C(O)C=C3)C3=CC(O)=CC(O)=C3)C3=CC=C(O)C=C3)C=C1)=CC(O)=C2,
Araloside S1,256531-73-4,CCCCCCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2OC2OCC(O)C(O)C2O)C1O,
Fevicordin B 2-[rhamnosyl-(1->4)-glucosyl-(1->6)-glucoside],178062-93-6,CC1OC(OC2C(CO)OC(OCC3OC(OC4=C(O)C(C)=C5CCC6C7(C)CC(O)C(C(C)(O)C(=O)CCC(C)(C)OC(C)=O)C7(C)CC(=O)C6(C)C5=C4)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
Panaquinquecol 6,145400-15-3,CCCCCCCC1OC1C(OC(C)=O)C#CC#CC(O)C=C,
Pseudoisoeugenol 2-methylbutanoate,58989-20-1,CCC(C)C(=O)OC1=CC=C(OC)C=C1\C=C\C,
"Epicatechin-(4beta->6)-epicatechin-(2beta->7,4beta->8)-epicatechin",88038-12-4,OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C1=C(OC3(OC4=C(C1C3O)C(O)=C(C1C(O)C(OC3=CC(O)=CC(O)=C13)C1=CC(O)=C(O)C=C1)C(O)=C4)C1=CC(O)=C(O)C=C1)C=C2O,
"(5alpha,24(28)Z)-Stigmast-24(28)-en-3-one",126576-88-3,C\C=C(\CCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C)C(C)C,
Schidigeragenin B,267003-21-4,CC1C2C(CC3C4CCC5CC(O)CCC5(C)C4CC(=O)C23C)OC11CCC(=C)CO1,
Schidigerasaponin B1,266997-32-4,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CC(=O)C23C)OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)OC11CCC(=C)CO1,
Annoglabasin F,288627-12-3,COC(=O)C1(CC23CC1CCC2C1(C)CCCC(C)(O)C1CC3)OC(C)=O,
Tsugarioside B,267649-97-8,CC(C)=CCCC(COC1OCC(O)C(O)C1O)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3,
Tsugaric acid C,267649-96-7,CC(=C)C(O)CCC(C1CCC2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3)C(O)=O,
Trametenolic acid B,24160-36-9,[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@@H](CCC=C(C)C)C(O)=O,
Schleicherastatin 3,256445-53-1,COC1C=C2CC(O)CCC2(C)C2CCC3(C)C(CCC3C12)C(C)C(O)CC(C)C(C)C,
Schleicherastatin 6,256445-61-1,CC(C)C(C)CC(O)C(C)C1CCC2C3C(CCC12C)C1(C)CCC(O)CC1=CC3=O,
Oxindole-3-acetic acid,2971-31-5,OC(=O)CC1C(O)=NC2=C1C=CC=C2,
"3,5-Didecanoylpyridine",149682-93-9,CCCCCCCCCC(=O)C1=CC(=CN=C1)C(=O)CCCCCCCCC,
5-Decanoyl-2-nonylpyridine,149682-94-0,CCCCCCCCCC(=O)C1=CN=C(CCCCCCCCC)C=C1,
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-decanone]",158528-00-8,CCCCCCCCCC1C(=CNC=C1C(=O)CCCCCCCCC)C(=O)CCCCCCCCC,
"1-[1,4-Dihydro-4-nonyl-5-(1-oxodecyl)-3-pyridinyl]-1-dodecanone",158528-01-9,CCCCCCCCCCCC(=O)C1=CNC=C(C1CCCCCCCCC)C(=O)CCCCCCCCC,
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-dodecanone]",158528-02-0,CCCCCCCCCCCC(=O)C1=CNC=C(C1CCCCCCCCC)C(=O)CCCCCCCCCCC,
Vomifoliol 9-[xylosyl-(1->6)-glucoside],126221-59-8,CC(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)\C=C\C1(O)C(C)=CC(=O)CC1(C)C,
Licofuranone,161099-38-3,COC1=C(CC=C(C)C)C(O)=CC(O)=C1C1OC2=C(C=CC(O)=C2)C1=O,
Glycyrrhizaisoflavone C,161014-35-3,COC1=C(C(O)=CC2=C1CCC(C)(C)O2)C1=COC2=C(C=CC(O)=C2)C1=O,
Glycyrrhizaflavonol A,197304-01-1,CC1(C)OC2=C(CC1O)C=C(C=C2)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,
Luteolin 7-glucoside,5373-11-5,OC[C@H]1O[C@@H](OC2=CC3=C(C(O)=C2)C(=O)C=C(O3)C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,
Phlorin,28217-60-9,OCC1OC(OC2=CC(O)=CC(O)=C2)C(O)C(O)C1O,
"15-Acetoxyscirpene-3,4-diol 4-O-a-D-glucopyranoside",99124-45-5,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC3OC(CO)C(O)C(O)C3O)C2(C)C11CO1,
3-Caren-5-one,81800-50-2,CC1=CC(=O)C2C(C1)C2(C)C,
Ammonium carbonate,10361-29-2,[NH4+].[NH4+].[O-]C([O-])=O,
Rishitin,18178-54-6,CC1C(O)C(O)CC2=C1CC(CC2)C(C)=C,
Bryononic acid,24480-44-2,CC1(C)C2CCC3=C(CCC4(C)C5CC(C)(CCC5(C)CCC34C)C(O)=O)C2(C)CCC1=O,
Armexifolin,64929-15-3,CC1=C2C3OC(=O)C(=C)C3CCC2(C)C(O)CC1=O,
alpha-Carissanol,99957-09-2,CC1=C2CC(CCC2(C)CC(O)C1=O)C(C)(C)O,
"6beta-6,11-Dihydroxy-4-eudesmen-3-one",99957-10-5,CC1=C2C(O)C(CCC2(C)CCC1=O)C(C)(C)O,
Aflatoxin B2a,17878-54-5,COC1=CC2=C(C3CC(O)OC3O2)C2=C1C1=C(C(=O)CC1)C(=O)O2,
(Z)-3-Methyl-2-(2-pentenyl)-2-cyclopenten-1-one,488-10-8,CC\C=C/CC1=C(C)CCC1=O,
Kahweol,6894-43-5,CC12C=CC3=C(C=CO3)C1CCC13CC(CCC21)C(O)(CO)C3,
Mascaroside,55465-97-9,CC12CC(=O)C3=C(C=CO3)C1CCC13CC(CC(O)C21)C(O)(COC1OC(CO)C(O)C(O)C1O)C3O,
(R)-Limonene,5989-27-5,CC(=C)[C@@H]1CCC(C)=CC1,
(R)-p-Menth-4(8)-en-3-one,89-82-7,CC1CCC(=C(C)C)C(=O)C1,
"3beta,15alpha-Diacetoxy-(22R)-hydroxylanosta-7,9(11)24-trien-26-oic acid",112-24-3,CC(C(O)C\C=C(/C)C(O)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
Ganoderic acid Q,112790-45-1,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CC(O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
"(24E)-3beta,15alpha,22S-Triacetoxylanosta-7,9(11),24-trien-26-oic acid",112430-70-3,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
Gibberellin A7,510-75-8,CC12C3C(C(O)=O)C45CC(CCC4C3(OC1=O)C=CC2O)C(=C)C5,
Gibberellin A6,19147-78-5,CC12C3OC3CC3(OC1=O)C1CCC4(O)CC1(CC4=C)C(C23)C(O)=O,
Saponin H,85202-26-2,CC(C)=CC(O)CC1(C)OC1C1CCC2C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC2(C)C11COC(=O)C1,
Monotropein,5945-50-6,OCC1OC(OC2OC=C(C3C=CC(O)(CO)C23)C(O)=O)C(O)C(O)C1O,
Gibberellin A30,32450-00-3,CC12C3C(C(O)=O)C45CC(C(O)CC4C3(OC1=O)C=CC2O)C(=C)C5,
Gibberellin A68,71177-41-8,CC12C3C(C(O)=O)C45CC(CCC4C3(OC1=O)C=CC2O)C(=C)C5O,
Taraxacolide 1-O-b-D-glucopyranoside,75911-12-5,CC1C2CCC3(C)C(CC(=O)C(C)C3C2OC1=O)OC1OC(CO)C(O)C(O)C1O,
Dammaradienol,20460-34-8,CC(C)=CCCC(=C)C1CCC2(C)C1CCC1C3(C)CCC(O)C(C)(C)C3CCC21C,
ar-Turmerone,532-65-0,C[C@@H](CC(=O)C=C(C)C)C1=CC=C(C)C=C1,
(R)-ar-Turmerone,532-65-0,CC(CC(=O)C=C(C)C)C1=CC=C(C)C=C1,
Epioxylubimin,69350-60-3,CC1C(O)C(O)CC(C=O)C11CCC(C1)C(C)=C,
2-Bornanol,10385-78-1,[H]C1(O)CC2CCC1(C)C2(C)C,
Lubimin,64024-09-5,CC1CC(O)CC(C=O)C11CCC(C1)C(C)=C,
Mangiferonic acid,13878-90-5,CC(CC\C=C(/C)C(O)=O)C1CCC2(C)C3CCC4C5(CC35CCC12C)CCC(=O)C4(C)C,
"3,3',4,4'-Tetrahydroxy-2-methoxychalcone",197227-39-7,COC1=C(\C=C\C(=O)C2=CC(O)=C(O)C=C2)C=CC(O)=C1O,
alpha-Carene,13466-78-9,CC1=CCC2C(C1)C2(C)C,
Artabsinolide A,82078-63-5,CC1C2CCC(C)(O)C3=C(C2OC1=O)C(C)(O)CC3=O,
Ganoderic acid R,103963-39-9,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CCC2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
(+)-cis-Carveol,7632-16-8,CC(=C)[C@H]1CC=C(C)[C@@H](O)C1,
gamma-Carotene,472-93-5,CC(C)=CCC\C(C)=C/C=C\C(\C)=C\C=C\C(\C)=C\C=C/C=C(\C)/C=C/C=C(/C)\C=C\C1=C(C)CCCC1(C)C,
beta-Zeacarotene,514-90-9,CC(C\C=C/C=C(\C)/C=C/C=C(\C)/C=C\C=C(\C)CCC=C(C)C)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C,
"(-)-7,7-Dimethyl-2-methylenebicyclo[2.2.1]heptane",7378-37-2,CC1(C)C2CCC1C(=C)C2,
Glaucarubin,1448-23-3,CCC(C)(O)C(=O)OC1C2C(C)C(O)C3(O)OCC22C3C3(C)C(O)C(O)C=C(C)C3CC2OC1=O,
Ganoderic acid C1,95311-97-0,CC(CC(=O)CC(C)C(O)=O)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3O,
(±)-2-Methyl-1-butanethiol,1878-18-8,CCC(C)CS,
alpha-Irone,79-69-6,CC1CC=C(C)C(\C=C\C(C)=O)C1(C)C,
Betulalbuside A,64776-96-1,C\C(COC1OC(CO)C(O)C(O)C1O)=C/CCC(C)(O)C=C,
Kanokoside A,64703-85-1,CC(C)CC(=O)OC1OC=C(COC2OC(CO)C(O)C(O)C2O)C2C3OC3C(O)(CO)C12,
Petasitin,19887-90-2,C\C=C(/C)C(=O)OC1CCC2=CC(=O)C(=CC2(C)C1C)C(C)(C)O,
Hexanenitrile,628-73-9,CCCCCC#N,
Feruloylspermidine,70185-60-3,NCCCCNCCCN,
Petasalbin,4176-11-8,CC1CCCC2CC3=C(C(O)C12C)C(C)=CO3,
Sintaxanthin,4586-97-4,CC(=O)C(\C)=C\C=C\C(\C)=C\C=C/C=C(\C)/C=C/C=C(/C)\C=C\C1=C(C)CCCC1(C)C,
beta-Sinensal,3779-62-2,C\C(CC\C=C(\C)C=O)=C/CCC(=C)C=C,
Epoxyguaiene,10410-05-6,CC1CCC23OC12CC(CCC3C)C(C)=C,
Methyl 2-(methylthio)acetate,16630-66-3,COC(=O)CSC,
Guaiol,489-86-1,CC1CCC2=C1CC(CCC2C)C(C)(C)O,
"3,14-Dihydroxy-11,13-dihydrocostunolide",102518-83-2,CC1C2CC\C(CO)=C/CC(O)\C(C)=C/C2OC1=O,
Epiisolubimin,60077-68-1,CC1CC(=O)CC(CO)C11CCC(C1)C(C)=C,
"(±)-3,7-Dimethyl-3-octanol",78-69-3,CCC(C)(O)CCCC(C)C,
Perilla sugar,30950-27-7,CC(=C)C1CCC(\C=N\O)=CC1,
(+)-trans-Pinocarveol,19894-98-5,CC1(C)[C@@H]2C[C@H]1C(=C)[C@@H](O)C2,
Isopulegone,529-00-0,CC1CCC(C(C)=C)C(=O)C1,
Phytal,13754-69-3,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\C=O,
3-Pinanone,15358-88-0,CC1C2CC(CC1=O)C2(C)C,
Solavetivone,54878-25-0,CC1CC(=O)C=C(C)C11CCC(C1)C(C)=C,
Ursolic acid,77-52-1,[H][C@@]12[C@@H](C)[C@H](C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)C3CC[C@@]12C)C(O)=O,
(-)-alpha-Pinene,7785-26-4,CC1=CC[C@@H]2C[C@H]1C2(C)C,
Cobaltous chloride,7646-79-9,[Cl-].[Cl-].[Co++],
Nerolidol,7212-44-4,CC(C)=CCCC(C)=CCCC(C)(O)C=C,
Dukunolide B,99343-73-4,CC12OC(=O)C3OC13C(C)(C)C(=O)C1(O)CC34OC3CCC3(C)C(OC(=O)C(=C43)C21O)C1=COC=C1,
"L-1,2,3,4-Tetrahydro-beta-carboline-3-carboxylic acid",42438-90-4,OC(=O)C1CC2=C(CN1)NC1=CC=CC=C21,
Talc,14807-96-6,O.O=[Mg].O=[Mg].O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,
Dukunolide A,97804-04-1,CC12OC(=O)C3OC13C(C)(C)C(=O)C1(O)CC3=CCCC4(C)C(OC(=O)C(=C34)C21O)C1=COC=C1,
Deacetylnomilin,3264-90-2,CC12CCC3C4(C)C(CC(=O)C3(C)C11OC1C(=O)OC2C1=COC=C1)C(C)(C)OC(=O)CC4O,
beta-Citraurol,57593-78-9,C\C(CO)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(/C)\C=C\C1=C(C)CC(O)CC1(C)C,
beta-Citraurinene,58947-97-0,CC(C)=C\C=C\C(\C)=C/C=C/C=C(\C)/C=C/C=C(/C)\C=C\C1=C(C)CC(O)CC1(C)C,
Acetylvalerenolic acid,81397-67-3,CC1CCC(\C=C(/C)C(O)=O)C2=C(C)CC(OC(C)=O)C12,
Valencene,4630-07-3,CC1CCC=C2CCC(CC12C)C(C)=C,
Melleolide,82869-08-7,CC1=CC(O)=CC(O)=C1C(=O)OC1CC2(C)C3CC(C)(C)CC3C=C(C=O)C12O,
6-O-Methylarmillaridin,126006-70-0,COC1=C(Cl)C(C)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23OC)C(O)=C1,
Eremophilene,10219-75-7,CC1CCC=C2CCC(CC12C)C(C)=C,
Quercilicoside A,87340-30-5,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1(C)O)C(=O)OC1OC(CO)C(O)C(O)C1O,
"8,15-Isopimaradien-18-oic acid",3625-01-2,CC1(CCC2=C(CCC3C(C)(CCCC23C)C(O)=O)C1)C=C,
Ginsenoside Ra1,83459-41-0,CC(C)=CCCC(C)(OC1OC(COC2OCC(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Ginsenoside Ra2,83459-42-1,CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Vitamin A2 aldehyde,472-87-7,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C=CCC1(C)C)=C/C=O,
Pyrrhoxanthinol,54369-11-8,C\C(=C/C=C\C=C\C=C(/C)C#CC1=C(C)CC(O)CC1(C)C)\C=C1/OC(=O)C(\C=C\C23OC2(C)CC(O)CC3(C)C)=C1,
Momordicoside E,78887-74-8,CC(C=O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)C3(C)CCC12C,
alpha-Terpineol,98-55-5,CC1=CCC(CC1)C(C)(C)O,
(-)-Matairesinol,580-72-3,COC1CC(CC2COC(=O)C2CC2CCC(O)C(C2)OC)CCC1O,
Corosin,53527-49-4,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C5CCC34C)C(O)=O)C2C1(C)O)C(O)=O,
Crocetin,27876-94-4,C\C(\C=C\C=C(/C)C(O)=O)=C\C=C\C=C(/C)\C=C\C=C(\C)C(O)=O,
Cucurbitacin I 2-glucoside,29803-94-9,CC(C)(O)\C=C\C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,
"3H-1,2-Dithiole-3-thione",534-25-8,S=C1SSC=C1,
p-Menth-1-ene-8-thiol,71159-90-5,CC1=CCC(CC1)C(C)(C)S,
Xanthoperol,119817-27-5,CC(C)C1=CC2=C(C=C1O)C1(C)CCCC(C)(C)C1C(=O)C2=O,
Bauerenol,6466-94-0,CC1CCC2(C)CCC3(C)C4=CCC5C(C)(C)C(O)CCC5(C)C4CCC3(C)C2C1C,
Acorenone,5956-05-8,CC(C)C1CCC(C)C11CC=C(C)C(=O)C1,
Zeaxanthin dipalmitate,144-67-2,CCCCCCCCCCCCCCCC(=O)OC1CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C2=C(C)CC(CC2(C)C)OC(=O)CCCCCCCCCCCCCCC)C(C)(C)C1,
alpha-Cyclocitral,432-24-6,CC1=CCCC(C)(C)C1C=O,
"(6alpha,7alpha,10alpha)-1(5),3-Aromadendradiene",111778-06-4,CC1CCC2C(C3=C1CC=C3C)C2(C)C,
Ganoderenic acid B,100665-41-6,CC(CC(=O)\C=C(\C)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(O)C(C)(C)C1CC3O)C(O)=O,
Cafestol,469-83-0,CC12CCC3=C(C=CO3)C1CCC13CC(CCC21)C(O)(CO)C3,
Panasinsanol A,80374-27-2,CC1(C)CC23[C@H]1CC[C@@]2(C)CCC[C@@]3(C)O,
Aloesol,94356-35-1,CC(O)CC1=CC(=O)C2=C(O1)C=C(O)C=C2C,
Ambolic acid,13878-93-8,CC(CCC(=C)C(C)C(O)=O)C1CCC2(C)C3CCC4C5(CC35CCC12C)CCC(O)C4(C)C,
Hotrienol,20053-88-7,CC(=C)\C=C/CC(C)(O)C=C,
Epoxyartemisia ketone,79507-83-8,CC(C)(C=C)C(=O)C1OC1(C)C,
24-Methylenecycloartan-3-ol,1449-09-8,[H][C@@]12CC[C@]3([H])[C@]4(C[C@@]14CC[C@]1(C)[C@H](CC[C@@]21C)[C@H](C)CCC(=C)C(C)C)CC[C@H](O)C3(C)C,
Tanacetin,1401-54-3,CC12CCC3C(OC(=O)C3=C)C1(O)C(=C)CCC2O,
Dihydroasparagusic acid,7634-96-0,OC(=O)C(CS)CS,
S-Acetyl dihydroasparagusic acid,38146-83-7,CC(=O)SCC(CS)C(O)=O,
Isocyperol,20085-00-1,CC(=C)C1CCC2(C)CCC(O)C(=C)C2C1,
Ganoderic acid B,81907-61-1,CC(CC(=O)CC(C)C(O)=O)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(O)C(C)(C)C1CC3O,
Tanacetol A,86778-06-5,CC(=O)O\C1=C(C)\CCC(CC(=O)C(=C)CC1)C(C)(C)O,
"(1R,2S,3S,4R)-p-Menthane-2,3-diol",51745-21-2,CC(C)C1CCC(C)C(O)C1O,
15-Deacetylcalonectrin,38818-66-5,CC(=O)OC1CC2(C)C3(CO3)C1OC1C=C(C)CCC21CO,
Cylindrin,17904-55-1,COC1CCC2(C)C(CCC3C2=CCC2(C)C4CCC(C(C)C)C4(C)CCC32C)C1(C)C,
Sorghumol,4966-00-1,[H][C@@](O)(CCCCC(=O)CCCCC[C@@]([H])(O)[C@@]1([H])CC[C@@]([H])(O1)[C@@]([H])(O)CCCCCCCCCCCC)CC1=C[C@]([H])(C)OC1=O,
Ganoderic acid Mb,74-83-9,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CC(OC(C)=O)C2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3O,
Ganoderic acid Mc,111-40-0,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CC(O)C2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3OC(C)=O,
Mangiferolic acid,13878-92-7,CC(CC\C=C(/C)C(O)=O)C1CCC2(C)C3CCC4C5(CC35CCC12C)CCC(O)C4(C)C,
p-Menthan-4-ol,470-65-5,CC(C)C1(O)CCC(C)CC1,
Hebevinoside II,89456-98-4,CC(CCC=C(C)C)C1C(CC2(C)C3C(O)C=C4C(CCC(OC5OCC(OC(C)=O)C(O)C5O)C4(C)C)C3(C)CCC12C)OC1OC(COC(C)=O)C(O)C(O)C1O,
Ganoderol A,104700-97-2,CC(CC\C=C(/C)CO)C1CCC2(C)C3=CCC4C(C)(C)C(=O)CCC4(C)C3=CCC12C,
Dihydromyoporone,72145-16-5,CC(C)CC(O)CC(C)CCC(=O)C1=COC=C1,
Camelledionol,81426-90-6,CC1(C)CCC2(O)C(C1)C1=CCC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2=O,
Boric acid (H3BO3),10043-35-3,OB(O)O,
Dukunolide D,101560-02-5,CC12OC(=O)CC1C(C)(C)C(=O)C1(O)CC3=CCCC4(C)C(OC(=O)C(=C34)C21O)C1=COC=C1,
Dukunolide E,101559-97-1,CC12OC(=O)CC1C(C)(C)C(=O)C1(O)CC34OC3CCC3(C)C(OC(=O)C(=C43)C21O)C1=COC=C1,
2'-Oxoaloesol 7-glucoside,128701-04-2,CC(=O)CC1=CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1O)C=C2C,
"(±)-trans,trans-delta-Damascone",57378-68-4,C\C=C\C(=O)C1C(C)C=CCC1(C)C,
Camellenodiol,81426-91-7,CC1(C)CCC2(O)C(C1)C1=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2=O,
"11,12-Dihydrolactaroviolin",24687-70-5,CC(C)C1=CC2=C(C=O)C=CC2=C(C)C=C1,
(R)-Piperitone,4573-50-6,CC(C)[C@@H]1CCC(C)=CC1=O,
(S)-Piperitone,6091-50-5,CC(C)[C@@H]1CCC(C)=CC1=O,
"(R)-2,7(14),9-Bisabolatrien-11-ol",72916-06-4,CC1=CCC(CC1)C(=C)C\C=C\C(C)(C)O,
Arlatin,93552-69-3,CC1C2CCC(C)(O)C3(O)CC=C(C)C3C2OC1=O,
(-)-trans-Isopulegone,57129-09-6,CC1CCC(C(C)=C)C(=O)C1,
Absinthin,1362-42-1,[H][C@@]12C3[C@H]4C=C(C)[C@@]5(C6OC(=O)[C@@H](C)[C@@H]6CC[C@](C)(O)C45)C3C(C)=C1[C@H]1OC(=O)[C@@H](C)C1CC[C@]2(C)O,
"(2E,7R,11R)-2-Phyten-1-ol",150-86-7,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO,
Pinocarveol,5947-36-4,CC1(C)C2CC1C(=C)C(O)C2,
(-)-Isopinocamphone,14575-93-0,C[C@H]1[C@@H]2C[C@H](CC1=O)C2(C)C,
